name,start_read_date,end_read_date,estimated_volume,volume,grass_area,difference,difference_pct,wasted_tl,year_month
KEMAL SUNAL PARKI,2016-08-27,2016-10-01,230,353,1600.0,123,53.47826086956522,2460,2016-10-01
TEOMAN ÖZTÜRK PARKI,2023-01-05,2023-05-06,0,18,8000.0,18,0.0,360,2023-05-01
RAUF DENKTAŞ PARKI,2019-05-22,2019-06-27,588,1056,5562.0,468,79.59183673469387,9360,2019-06-01
YUNUS EMRE PARKI,2023-07-05,2023-08-02,902,955,4847.0,53,5.875831485587583,1060,2023-08-01
NEJAT UYGUR PARKI,2016-08-27,2016-10-03,226,362,1470.0,136,60.17699115044248,2720,2016-10-01
NEŞET ERTAŞ PARKI,2020-09-07,2020-10-06,491,1660,3160.0,1169,238.08553971486762,23380,2020-10-01
SÜLEYMAN TÜRKOĞLU PARKI,2021-06-26,2021-08-02,412,620,1919.0,208,50.48543689320388,4160,2021-08-01
BERFO ANA PARKI,2019-01-23,2019-04-20,0,82,11200.0,82,0.0,1640,2019-04-01
İLHAN ERDOST PARKI,2018-09-01,2018-09-28,333,784,2676.0,451,135.43543543543544,9020,2018-09-01
ATA PARK,2021-12-01,2022-05-05,0,27,6052.0,27,0.0,540,2022-05-01
ŞÜKRAN GÜNGÖR,2016-07-30,2016-08-31,184,190,1058.0,6,3.260869565217391,120,2016-08-01
KAĞAN GÜRŞEN PARKI,2018-04-19,2018-05-22,0,16,1125.0,16,0.0,320,2018-05-01
ATA PARK,2017-11-25,2018-04-24,0,88,6052.0,88,0.0,1760,2018-04-01
EFE ECE DALMANOĞLU PARKI,2018-08-29,2019-04-24,5,9,25.0,4,80.0,80,2019-04-01
TEOMAN ÖZTÜRK PARKI,2018-03-24,2018-04-20,0,33,8000.0,33,0.0,660,2018-04-01
İSMET İNÖNÜ PARKI,2021-08-05,2021-09-06,1634,2094,9088.0,460,28.151774785801713,9200,2021-09-01
YUNUS EMRE PARKI,2022-08-01,2022-08-31,875,992,4847.0,117,13.37142857142857,2340,2022-08-01
NEŞET ERTAŞ PARKI,2018-09-03,2018-10-03,398,1778,3160.0,1380,346.73366834170855,27600,2018-10-01
EFE ECE DALMANOĞLU PARKI,2020-09-04,2020-10-05,4,20,25.0,16,400.0,320,2020-10-01
NASUH AKAR PARKI,2017-10-26,2018-05-24,5,18,803.0,13,260.0,260,2018-05-01
ATAPARK,2021-09-02,2021-10-04,911,1034,8271.0,123,13.50164654226125,2460,2021-10-01
NEJAT UYGUR PARKI,2016-05-30,2016-06-25,163,497,1470.0,334,204.9079754601227,6680,2016-06-01
SEHERGÜL ATEŞ,2016-08-03,2016-09-01,59,278,400.0,219,371.18644067796606,4380,2016-09-01
NECATİ YURTTAKALAN PARKI,2017-10-25,2018-04-20,8,32,1011.0,24,300.0,480,2018-04-01
NEJAT UYGUR PARKI,2017-04-25,2017-05-26,0,384,1470.0,384,0.0,7680,2017-05-01
SEHERGÜL ATEŞ,2016-09-01,2016-10-06,60,294,400.0,234,390.0,4680,2016-10-01
TEOMAN ÖZTÜRK PARKI,2017-04-26,2017-05-27,0,796,8000.0,796,0.0,15920,2017-05-01
NEŞET ERTAŞ PARKI,2017-04-26,2017-05-29,0,45,3160.0,45,0.0,900,2017-05-01
SEMA YAZAR PARKI,2017-05-26,2017-06-23,207,653,2850.0,446,215.45893719806762,8920,2017-06-01
BERFO ANA PARKI,2018-08-31,2018-09-28,1449,2042,11200.0,593,40.924775707384406,11860,2018-09-01
YUNUS EMRE PARKI,2016-08-31,2016-10-03,685,776,4847.0,91,13.284671532846716,1820,2016-10-01
AFET İNAN PARKI,2019-10-05,2020-06-03,42,58,534.0,16,38.095238095238095,320,2020-06-01
TEOMAN EREL PARKI,2021-08-03,2021-09-01,494,559,2765.0,65,13.157894736842104,1300,2021-09-01
BERFO ANA PARKI,2017-06-22,2017-07-27,2757,3540,11200.0,783,28.40043525571273,15660,2017-07-01
ATAPARK,2022-03-04,2022-06-03,144,477,8271.0,333,231.25,6660,2022-06-01
AYTEN BAYKAL PARKI,2017-04-27,2017-05-26,0,37,2236.0,37,0.0,740,2017-05-01
TEOMAN ÖZTÜRK PARKI,2022-08-04,2022-09-05,1514,2198,8000.0,684,45.1783355350066,13680,2022-09-01
RAUF DENKTAŞ PARKI,2016-05-27,2016-06-25,619,1262,5562.0,643,103.87722132471728,12860,2016-06-01
İSMET İNÖNÜ PARKI,2022-07-01,2022-08-04,1624,1672,9088.0,48,2.955665024630542,960,2022-08-01
İLHAN ERDOST PARKI,2018-11-27,2019-04-22,0,6,2676.0,6,0.0,120,2019-04-01
NEŞET ERTAŞ PARKI,2017-10-28,2018-05-24,16,41,3160.0,25,156.25,500,2018-05-01
AFET İNAN PARKI,2022-07-01,2022-08-05,99,340,534.0,241,243.43434343434342,4820,2022-08-01
KEMAL SUNAL PARKI,2023-07-05,2023-08-03,310,841,1600.0,531,171.29032258064515,10620,2023-08-01
YUNUS EMRE PARKI,2022-06-28,2022-08-01,822,1243,4847.0,421,51.21654501216545,8420,2022-08-01
TEOMAN EREL PARKI,2019-07-01,2019-08-02,517,871,2765.0,354,68.47195357833655,7080,2019-08-01
ATA PARK,2017-06-30,2017-07-29,1321,3142,6052.0,1821,137.85011355034064,36420,2017-07-01
SÜLEYMAN TÜRKOĞLU PARKI,2019-09-03,2019-10-02,276,364,1919.0,88,31.88405797101449,1760,2019-10-01
SÜLEYMAN TÜRKOĞLU PARKI,2021-08-02,2021-08-31,345,403,1919.0,58,16.81159420289855,1160,2021-08-01
NEJAT UYGUR PARKI,2017-08-25,2017-09-28,335,633,1470.0,298,88.95522388059702,5960,2017-09-01
BERFO ANA PARKI,2016-05-27,2016-06-25,1246,1999,11200.0,753,60.43338683788122,15060,2016-06-01
BERFO ANA PARKI,2017-08-24,2017-09-28,2602,3190,11200.0,588,22.598001537279018,11760,2017-09-01
RAUF DENKTAŞ PARKI,2019-06-27,2019-07-29,1022,1394,5562.0,372,36.399217221135025,7440,2019-07-01
NEJAT UYGUR PARKI,2017-05-26,2017-06-23,107,176,1470.0,69,64.48598130841121,1380,2017-06-01
RAUF DENKTAŞ PARKI,2016-06-25,2016-07-30,1105,2277,5562.0,1172,106.0633484162896,23440,2016-07-01
ŞÜKRAN GÜNGÖR,2018-06-25,2018-07-24,190,217,1058.0,27,14.210526315789473,540,2018-07-01
İLHAN ERDOST PARKI,2016-04-29,2016-05-27,0,153,2676.0,153,0.0,3060,2016-05-01
ATAPARK,2021-01-07,2021-06-01,19,173,8271.0,154,810.5263157894736,3080,2021-06-01
EFE ECE DALMANOĞLU PARKI,2016-08-01,2016-08-29,3,14,25.0,11,366.66666666666663,220,2016-08-01
NEŞET ERTAŞ PARKI,2019-09-05,2019-10-05,470,1778,3160.0,1308,278.2978723404255,26160,2019-10-01
YUNUS EMRE PARKI,2017-10-28,2018-05-25,25,1237,4847.0,1212,4848.0,24240,2018-05-01
NEJAT UYGUR PARKI,2022-03-31,2022-04-29,0,3,1470.0,3,0.0,60,2022-04-01
AFET İNAN PARKI,2017-05-29,2017-06-29,55,82,534.0,27,49.09090909090909,540,2017-06-01
NASUH AKAR PARKI,2016-08-02,2016-09-01,125,802,803.0,677,541.6,13540,2016-09-01
ŞÜKRAN GÜNGÖR,2019-09-05,2019-10-04,150,153,1058.0,3,2.0,60,2019-10-01
ATA PARK,2018-04-24,2018-05-25,0,1107,6052.0,1107,0.0,22140,2018-05-01
NEJAT UYGUR PARKI,2022-09-06,2022-10-03,199,243,1470.0,44,22.110552763819097,880,2022-10-01
NEJAT UYGUR PARKI,2022-04-29,2022-06-02,16,109,1470.0,93,581.25,1860,2022-06-01
EFE ECE DALMANOĞLU PARKI,2020-06-01,2020-07-02,3,15,25.0,12,400.0,240,2020-07-01
SÜLEYMAN TÜRKOĞLU PARKI,2016-06-29,2016-08-01,370,807,1919.0,437,118.1081081081081,8740,2016-08-01
NEJAT UYGUR PARKI,2016-06-25,2016-07-30,292,834,1470.0,542,185.6164383561644,10840,2016-07-01
TEOMAN ÖZTÜRK PARKI,2020-04-29,2020-06-04,88,212,8000.0,124,140.9090909090909,2480,2020-06-01
AFET İNAN PARKI,2017-06-29,2017-07-27,113,158,534.0,45,39.823008849557525,900,2017-07-01
EFE ECE DALMANOĞLU PARKI,2020-11-02,2021-08-02,7,227,25.0,220,3142.8571428571427,4400,2021-08-01
AFET İNAN PARKI,2022-08-05,2022-09-06,99,647,534.0,548,553.5353535353536,10960,2022-09-01
KEMAL SUNAL PARKI,2017-08-24,2017-09-27,369,881,1600.0,512,138.75338753387533,10240,2017-09-01
KEMAL SUNAL PARKI,2018-07-24,2018-08-31,412,472,1600.0,60,14.563106796116504,1200,2018-08-01
İLHAN ERDOST PARKI,2018-03-21,2018-05-22,0,140,2676.0,140,0.0,2800,2018-05-01
YUNUS EMRE PARKI,2016-08-02,2016-08-31,743,1340,4847.0,597,80.34993270524899,11940,2016-08-01
SÜLEYMAN TÜRKOĞLU PARKI,2020-11-02,2021-05-31,0,24,1919.0,24,0.0,480,2021-05-01
RAUF DENKTAŞ PARKI,2022-04-28,2022-08-01,1491,2341,5562.0,850,57.008718980549965,17000,2022-08-01
İSMET İNÖNÜ PARKI,2017-04-27,2017-05-29,0,1010,9088.0,1010,0.0,20200,2017-05-01
ATA PARK,2016-06-27,2016-08-02,1276,2311,6052.0,1035,81.1128526645768,20700,2016-08-01
EFE ECE DALMANOĞLU PARKI,2016-11-03,2017-05-30,0,129,25.0,129,0.0,2580,2017-05-01
İLHAN ERDOST PARKI,2017-03-25,2017-04-25,0,1,2676.0,1,0.0,20,2017-04-01
SEHERGÜL ATEŞ,2016-06-28,2016-08-03,85,219,400.0,134,157.64705882352942,2680,2016-08-01
İSMET İNÖNÜ PARKI,2019-07-01,2019-07-30,1533,2638,9088.0,1105,72.0808871493803,22100,2019-07-01
