date,ET0,ETc,water_need_m3
2015-05-10,3.286283902193434,2.6290271217547474,0.00263
2015-05-11,3.020396394095428,2.4163171152763425,0.00242
2015-05-12,2.9746466475895,2.3797173180716,0.00238
2015-05-13,2.6292662030171177,2.103412962413694,0.0021
2015-05-14,4.625571800680773,3.7004574405446187,0.0037
2015-05-15,8.151480929478065,6.521184743582452,0.00652
2015-05-16,9.078513824890772,7.262811059912618,0.00726
2015-05-17,7.435590979203118,5.948472783362495,0.00595
2015-05-18,5.2652397028576,4.21219176228608,0.00421
2015-05-19,4.785021549170312,3.82801723933625,0.00383
2015-05-20,6.545558830144323,5.236447064115459,0.00524
2015-05-21,6.726173921929823,5.380939137543859,0.00538
2015-05-22,4.189486656571135,3.3515893252569082,0.00335
2015-05-23,4.78918901924038,3.8313512153923046,0.00383
2015-05-24,6.939455644026874,5.5515645152215,0.00555
2015-05-25,5.701978632901255,4.5615829063210045,0.00456
2015-05-26,5.454868714448314,4.3638949715586515,0.00436
2015-05-27,2.5179562297519746,2.01436498380158,0.00201
2015-05-28,2.4244934406978746,1.9395947525582997,0.00194
2015-05-29,2.064079796951885,1.651263837561508,0.00165
2015-05-30,1.43717301621374,1.149738412970992,0.00115
2015-05-31,3.314167165267205,2.6513337322137644,0.00265
2015-06-01,2.837467456235247,2.2699739649881976,0.00227
2015-06-02,4.634254134106411,3.7074033072851287,0.00371
2015-06-03,2.8499071661022484,2.279925732881799,0.00228
2015-06-04,1.1913995514237186,0.9531196411389748,0.00095
2015-06-05,2.114367711604104,1.6914941692832834,0.00169
2015-06-06,2.0526305390575286,1.642104431246023,0.00164
2015-06-07,3.5790760690577463,2.8632608552461973,0.00286
2015-06-08,3.662827506634457,2.930262005307566,0.00293
2015-06-09,3.7557514382643746,3.0046011506115,0.003
2015-06-10,2.8281926833366744,2.2625541466693395,0.00226
2015-06-11,3.2116809271563906,2.5693447417251125,0.00257
2015-06-12,2.7299647117842047,2.1839717694273637,0.00218
2015-06-13,3.3068122468356447,2.645449797468516,0.00265
2015-06-14,3.1058610533525908,2.484688842682073,0.00248
2015-06-15,2.9036698924381286,2.322935913950503,0.00232
2015-06-16,4.896022085784114,3.9168176686272917,0.00392
2015-06-17,3.218985422655991,2.575188338124793,0.00258
2015-06-18,4.247298021077825,3.39783841686226,0.0034
2015-06-19,3.388619021033367,2.7108952168266938,0.00271
2015-06-20,3.5367698416823212,2.829415873345857,0.00283
2015-06-21,4.038284946107779,3.2306279568862233,0.00323
2015-06-22,5.365536316848341,4.292429053478673,0.00429
2015-06-23,3.732943602476447,2.986354881981158,0.00299
2015-06-24,3.087694205277804,2.4701553642222436,0.00247
2015-06-25,3.549145917415792,2.839316733932634,0.00284
2015-06-26,4.306836393977845,3.445469115182276,0.00345
