subscription,district,name,address,volume,price,start_read_date,end_read_date
1446436,ÇANKAYA,ÇANKAYA BELEDİYESİ RAUF DENKTAŞ PARKI,3047 SK,15,64.76,2015-04-01 00:00:00,2015-05-04 00:00:00
1070739,ÇANKAYA,ÇANKAYA BELEDİYESİ BARIŞ SİTE PARK,2096 SK,565,6791.48,2023-08-02 00:00:00,2023-09-02 00:00:00
2246307,ÇANKAYA,ÇANKAYA BELEDİYESİ MEHMET AYVALITAŞ PARKI,319 SK,783,2693.29,2016-05-27 00:00:00,2016-06-30 00:00:00
1071070,ÇANKAYA,ÇANKAYA BELEDİYESİ BAŞAK PARKI,1570 CAD,2,9.62,2021-09-30 00:00:00,2022-05-05 00:00:00
1446001,ÇANKAYA,ÇANKAYA BELEDİYESİ NAZIM HİKMET PARKI,2475 SK,1343,5378.24,2017-07-29 00:00:00,2017-08-26 00:00:00
2247199,ÇANKAYA,ÇANKAYA BEL.BŞK.PARK VE B AH.MÜD.,2067 CAD,100,438.99,2017-09-29 00:00:00,2018-07-26 00:00:00
1447067,ÇANKAYA,ÇANKAYA BELEDİYESİ NEŞET ERTAŞ PARKI,CEYHUN ATIF KANSU CAD,6,23.3,2018-11-01 00:00:00,2019-05-25 00:00:00
1445902,ÇANKAYA,ÇANKAYA BELEDİYESİ ÖĞRETMENLER PARKI,ÖĞRETMENLER CAD,20,66.6,2021-04-26 00:00:00,2021-05-28 00:00:00
671207,ÇANKAYA,ÇANKAYA BELEDİYESİ ÇİĞDEM MAH.PARKI,1559 SK,393,5026.33,2023-09-06 00:00:00,2023-10-05 00:00:00
2998239,ÇANKAYA,ÇANKAYA BEL.BŞK. PARK VE BAH.MÜD.,3300 CADDE,2066,26514.46,2023-09-04 00:00:00,2023-10-09 00:00:00
1070789,ÇANKAYA,ÇANKAYA BELEDİYESİ ATATÜRK SİTESİ PARKI,HACI MUSTAFA BEYNAM SK,40,182.37,2018-04-20 00:00:00,2018-05-23 00:00:00
2246813,ÇANKAYA,ÇANKAYA BELEDİYESİ PARK,2016 CAD,90,396.13,2018-02-19 00:00:00,2018-04-18 00:00:00
2246246,ÇANKAYA,ÇANKAYA BELEDİYESİ LOZAN PARK,KAHİRE CAD,4,39.94,2022-11-29 00:00:00,2023-05-01 00:00:00
2248096,ÇANKAYA,ÇANKAYA BEL.BŞK.PARK VE B AH. MÜD.,436 SK,1786,5947.38,2021-04-29 00:00:00,2021-06-01 00:00:00
1446837,ÇANKAYA,ÇANKAYA BELEDİYESİ KAĞAN GÜRŞEN PARKI,ARİF NİHAT ASYA SK,2,6.66,2021-05-28 00:00:00,2021-06-26 00:00:00
2246391,ÇANKAYA,ÇANKAYA BELEDİYESİ PARK,ADAKALE SK,32,106.56,2019-06-29 00:00:00,2019-07-30 00:00:00
2246391,ÇANKAYA,ÇANKAYA BELEDİYESİ PARK,ADAKALE SK,8,28.01,2015-11-28 00:00:00,2016-05-28 00:00:00
1071294,ÇANKAYA,ÇANKAYA BELEDİYESİ MURAT ŞAHİNER PARKI,945 SK,34,135.15,2017-05-30 00:00:00,2017-06-22 00:00:00
1446053,ÇANKAYA,ÇANKAYA BELEDİYESİ SULTAN GENÇ,1057 CAD,125,504.06,2017-08-28 00:00:00,2017-09-29 00:00:00
2246325,ÇANKAYA,ÇANKAYA BELEDİYESİ SÜLEYMAN TÜRKOĞLU PARKI,2983 CAD,580,1931.4,2020-08-03 00:00:00,2020-09-07 00:00:00
2246355,ÇANKAYA,ÇANKAYA BELEDİYESİ PARK,ŞEHİT ERSAN CAD,1856,22307.88,2023-08-02 00:00:00,2023-09-01 00:00:00
1070935,ÇANKAYA,ÇANKAYA BELEDİYESİ HAYDAR YILMAZ PARKI,ZİYA ÖRALAY CAD,582,4597.8,2022-07-04 00:00:00,2022-08-03 00:00:00
1446960,ÇANKAYA,ÇANKAYA BELEDİYESİ PARK,ÇİÇEKDAĞI SK,0,0,2017-03-28 00:00:00,2017-04-22 00:00:00
2248618,ÇANKAYA,ÇANKAYA BEL.BŞK.PARK VE B AH.MÜD.,1790 SK,519,6253.95,2023-08-05 00:00:00,2023-09-02 00:00:00
1445601,ÇANKAYA,ÇANKAYA BELEDİYESİ PARK,ŞEMSETTİN GÜNALTAY CAD,3,14.11,2018-05-23 00:00:00,2018-06-25 00:00:00
1446912,ÇANKAYA,ÇANKAYA BELEDİYESİ TÜRKAN SAYLAN PARKI,1428 SK,618,2492.09,2017-08-27 00:00:00,2017-10-02 00:00:00
2246764,ÇANKAYA,ÇANKAYA BELEDİYESİ PR.ALPASLAN IŞIKLI PARKI,1324 CAD,302,1005.66,2020-09-04 00:00:00,2020-10-03 00:00:00
2248148,ÇANKAYA,ÇANKAYA BEL.BŞK.PARK VE B AH.MÜD.,3225 SK,860,4129.99,2018-09-05 00:00:00,2018-10-01 00:00:00
670086,ÇANKAYA,ÇANKAYA BELEDİYESİ MUSTAFA YEŞİL PARKI,2954 SK (OYAK9 SİT),1422,4963.29,2021-08-31 00:00:00,2021-09-28 00:00:00
667160,ÇANKAYA,ÇANKAYA BELEDİYESİ MUHLİS AKARSU PARKI,SERHAT SK,163,648.74,2017-06-23 00:00:00,2017-07-29 00:00:00
2248606,ÇANKAYA,ÇANKAYA BEL.BŞK.PARK VE B AH.MÜD.,115 CAD,608,2024.64,2020-11-02 00:00:00,2021-08-02 00:00:00
1070617,ÇANKAYA,ÇANKAYA BELEDİYESİ MUHARREM DALKILIÇ KOŞ YOL,2853 CAD,1972,6700.99,2016-04-30 00:00:00,2016-05-31 00:00:00
669599,ÇANKAYA,ÇANKAYA BELEDİYESİ BARIŞ 3 PARKI,2114 SK,1,7.36,2022-06-01 00:00:00,2022-06-28 00:00:00
2998757,ÇANKAYA,ÇANKAYA BEL.BŞK.PARK VE B AHÇELER MÜD.,CEYHUN ATIF KANSU CAD,12,124.5,2023-05-01 00:00:00,2023-06-01 00:00:00
1071018,ÇANKAYA,ÇANKAYA BELEDİYESİ SANCAK TIBBİ BİTKİLER,537 SK,194,646.02,2019-11-01 00:00:00,2020-06-04 00:00:00
1446577,ÇANKAYA,ÇANKAYA BELEDİYESİ ZİYA YILMAZ PARKI,788 SK,21,110.85,2021-11-02 00:00:00,2022-06-03 00:00:00
1071441,ÇANKAYA,ÇANKAYA BELEDİYESİ EKVATOR CUMHURİYET PARKI,448 CAD,296,985.68,2020-07-04 00:00:00,2020-08-07 00:00:00
1445869,ÇANKAYA,ÇANKAYA BELEDİYESİ KOÇLAR PARKI,2497 SK,834,2871.55,2016-05-30 00:00:00,2016-06-28 00:00:00
1073252,ÇANKAYA,ÇANKAYA BELEDİYESİ Ş.UFUK ÜNSAL PARKI,TANYELİ SK,52,233.39,2015-09-02 00:00:00,2015-10-02 00:00:00
1446354,ÇANKAYA,ÇANKAYA BELEDİYESİ MUSTAF A SARI PARKI,350 SK,16,124.99,2022-06-28 00:00:00,2022-08-01 00:00:00
1445489,ÇANKAYA,ÇANKAYA BELEDİYESİ CEVİZLİ PARKI,1274 SK,143,476.19,2019-09-05 00:00:00,2019-10-03 00:00:00
1445495,ÇANKAYA,ÇANKAYA BELEDİYESİ KALELİ PARKI,1072 CAD,376,4184.88,2023-07-05 00:00:00,2023-08-02 00:00:00
2248040,ÇANKAYA,ÇANKAYA BEL.BŞK.PARK VE B AH. MÜD.,2679 SK,652,2282,2021-09-06 00:00:00,2021-10-04 00:00:00
1445489,ÇANKAYA,ÇANKAYA BELEDİYESİ CEVİZLİ PARKI,1274 SK,496,6366.6,2023-09-05 00:00:00,2023-10-09 00:00:00
556459,ÇANKAYA,ÇANKAYA BELEDİYESİ İLHAN ERDOST PARKI,1531 SK,814,3559.22,2015-04-30 00:00:00,2015-06-01 00:00:00
670689,ÇANKAYA,ÇANKAYA BELEDİYESİ AHLATLIBEL SPOR KOM,İNCEKYOLU KÜMEEVLER,158,703.89,2018-03-23 00:00:00,2018-04-20 00:00:00
1070617,ÇANKAYA,ÇANKAYA BELEDİYE BAŞKAN M UHARREM DALKILIÇ KOŞ YOL,2853 CAD,2241,7462.53,2020-06-03 00:00:00,2020-07-06 00:00:00
1445496,ÇANKAYA,ÇANKAYA BELEDİYESİ ALİ İZ ZET ÖZKAN PARKI,791 SK,1,10.36,2023-03-03 00:00:00,2023-07-07 00:00:00
2246233,ÇANKAYA,ÇANKAYA BELEDİYESİ YAZI K IRI PARKI,1967 SK,36,119.88,2019-09-07 00:00:00,2020-06-04 00:00:00
2246372,ÇANKAYA,ÇANKAYA BELEDİYESİ CEM KARACA PARKI,2547 SK,230,1021.2,2015-08-04 00:00:00,2015-09-04 00:00:00
1446351,ÇANKAYA,ÇANKAYA BELEDİYESİ PARK,1112 CAD,85,283.05,2020-10-06 00:00:00,2021-06-02 00:00:00
2247293,ÇANKAYA,ÇANKAYA BEL.BŞK.PARK VE B AH.MÜD.,AĞAÇSEVEN SK,13,43.29,2019-03-22 00:00:00,2019-04-22 00:00:00
1071387,ÇANKAYA,ÇANKAYA BELEDİYESİ BARIŞ SİTE PARK,2101 SK,261,2165.46,2022-08-02 00:00:00,2022-09-02 00:00:00
1070789,ÇANKAYA,ÇANKAYA BELEDİYESİ ATATÜRK SİTESİ PARKI,HACI MUSTAFA BEYNAM SK,49,335.96,2022-05-05 00:00:00,2022-06-06 00:00:00
2997657,ÇANKAYA,ÇANKAYA BEL.BŞK.PARK VE B AH.MÜD.,1001 SK,1,3.33,2020-04-01 00:00:00,2020-04-29 00:00:00
2248749,ÇANKAYA,ÇANKAYA BEL.BŞK.PARK VE B AH.MÜD.,319 SK,1313,4372.29,2019-11-05 00:00:00,2020-07-06 00:00:00
1446959,ÇANKAYA,ÇANKAYA BELEDİYESİ GÜLTEN ÇAPAR PARKI,TİFLİS CAD,18,59.94,2019-05-25 00:00:00,2019-06-29 00:00:00
674148,ÇANKAYA,ÇANKAYA BELEDİYESİ ŞH.AHMET ERKAN DOĞAN PARK,2139 CAD,125,598,2018-05-23 00:00:00,2018-07-25 00:00:00
671392,ÇANKAYA,ÇANKAYA BELEDİYESİ NAZIM HİKMET PARKI,DİKMEN CAD,65,289.58,2018-03-22 00:00:00,2018-04-21 00:00:00
2246213,ÇANKAYA,ÇANKAYA BELEDİYESİ FİKRET KIZILOK PARKI,628 SK,104,448.92,2017-10-28 00:00:00,2018-05-24 00:00:00
1445497,ÇANKAYA,ÇANKAYA BELEDİYESİ PR.HİKMET BİRAND 2 PARKI,AHMET YESEVİ CAD,87,301.79,2016-07-30 00:00:00,2016-09-01 00:00:00
1446354,ÇANKAYA,ÇANKAYA BELEDİYESİ MUSTAF A SARI PARKI,350 SK,2,25.51,2023-09-02 00:00:00,2023-10-06 00:00:00
332018,ÇANKAYA,ÇANKAYA BELEDİYESİ AFET İNAN PARKI,KUVEYT CAD,53,180.73,2021-08-05 00:00:00,2021-09-03 00:00:00
670241,ÇANKAYA,ÇANKAYA BELEDİYESİ A.PAŞA KONAK PARKI,MÜNZEVİLER SK,1521,5064.93,2019-06-28 00:00:00,2019-08-01 00:00:00
2246825,ÇANKAYA,ÇANKAYA BELEDİYESİ ABDULL AH CÖMERT PARKI,2130 SK,202,688.82,2021-08-04 00:00:00,2021-09-02 00:00:00
