subscription,name,start_read_date,end_read_date,estimated_volume,volume,grass_area
1073156,İSMET İNÖNÜ PARKI,2021-06-29,2021-08-05,2079,399.0,9088
611617,YUNUS EMRE PARKI,2018-06-27,2018-07-27,926,1469.0,4847
1074372,NEJAT UYGUR PARKI,2017-07-27,2017-08-25,260,530.0,1470
1445850,TEOMAN ÖZTÜRK PARKI,2016-08-31,2016-10-03,1131,285.0,8000
1446966,SEMA YAZAR PARKI,2018-06-27,2018-07-27,544,483.0,2850
332018,AFET İNAN PARKI,2023-09-05,2023-10-07,81,21.0,534
1074424,EFE ECE DALMANOĞLU PARKI,2019-05-23,2019-06-28,3,24.0,25
1071503,İSMET İNÖNÜ PARKI,2017-05-29,2017-06-22,689,740.0,9088
2246325,SÜLEYMAN TÜRKOĞLU PARKI,2018-06-27,2018-07-23,308,419.0,1919
1446436,RAUF DENKTAŞ PARKI,2021-08-03,2021-09-01,993,1788.0,5562
611617,YUNUS EMRE PARKI,2015-04-01,2015-05-04,370,284.0,4847
1446837,KAĞAN GÜRŞEN PARKI,2016-05-31,2016-06-29,152,67.0,1125
1074372,NEJAT UYGUR PARKI,2019-08-01,2019-09-04,296,534.0,1470
1446573,AYTEN BAYKAL PARKI,2016-05-30,2016-06-29,311,32.0,2236
1446959,GÜLTEN ÇAPAR PARKI,2019-07-31,2019-09-05,57,37.0,267
1446966,SEMA YAZAR PARKI,2015-05-02,2015-06-01,310,37.0,2850
670666,TEOMAN EREL PARKI,2023-09-04,2023-10-05,405,26.0,2765
2246325,SÜLEYMAN TÜRKOĞLU PARKI,2022-05-31,2022-06-28,208,98.0,1919
2246271,BERFO ANA PARKI,2018-04-19,2018-05-23,1526,1485.0,11200
2246025,KEMAL SUNAL PARKI,2018-06-22,2018-07-24,303,347.0,1600
1447076,HAMZA AKSOY PARKI,2020-09-07,2020-10-06,297,143.0,1916
2246325,SÜLEYMAN TÜRKOĞLU PARKI,2022-06-28,2022-07-30,300,249.0,1919
670666,TEOMAN EREL PARKI,2021-06-28,2021-08-03,595,393.0,2765
1445850,TEOMAN ÖZTÜRK PARKI,2018-05-21,2018-06-25,1143,128.0,8000
1447067,NEŞET ERTAŞ PARKI,2015-06-04,2015-07-03,267,291.0,3160
1447076,HAMZA AKSOY PARKI,2020-06-04,2020-07-03,271,137.0,1916
1445606,NASUH AKAR PARKI,2021-06-30,2021-08-04,174,40.0,803
1071503,İSMET İNÖNÜ PARKI,2016-11-03,2017-04-27,641,13058.0,9088
332018,AFET İNAN PARKI,2020-06-03,2020-07-03,77,108.0,534
1446959,GÜLTEN ÇAPAR PARKI,2018-10-02,2019-05-25,59,28.0,267
1445850,TEOMAN ÖZTÜRK PARKI,2021-09-03,2021-10-01,804,5.0,8000
2246325,SÜLEYMAN TÜRKOĞLU PARKI,2016-09-02,2016-10-01,240,285.0,1919
1446959,GÜLTEN ÇAPAR PARKI,2018-04-24,2018-05-24,33,6.0,267
1447076,HAMZA AKSOY PARKI,2017-08-26,2017-09-29,434,179.0,1916
1446436,RAUF DENKTAŞ PARKI,2018-06-23,2018-07-24,1037,1518.0,5562
2246025,KEMAL SUNAL PARKI,2019-09-03,2019-10-02,230,394.0,1600
2246419,ŞÜKRAN GÜNGÖR,2017-08-25,2017-09-29,245,310.0,1058
2246271,BERFO ANA PARKI,2020-04-01,2020-04-29,873,18.0,11200
1070089,ATAPARK,2015-09-02,2016-05-31,3242,890.0,8271
2246271,BERFO ANA PARKI,2022-08-04,2022-09-05,2120,1623.0,11200
1446837,KAĞAN GÜRŞEN PARKI,2020-09-04,2020-10-02,163,2.0,1125
671617,ATA PARK,2016-05-28,2016-06-27,825,920.0,6052
1074372,NEJAT UYGUR PARKI,2017-03-30,2017-04-25,90,49.0,1470
1446837,KAĞAN GÜRŞEN PARKI,2018-07-24,2018-08-31,289,18.0,1125
1447076,HAMZA AKSOY PARKI,2017-05-29,2017-08-26,933,34.0,1916
1071503,İSMET İNÖNÜ PARKI,2018-06-25,2018-07-26,1760,3263.0,9088
611617,YUNUS EMRE PARKI,2017-04-27,2017-05-29,602,686.0,4847
2246025,KEMAL SUNAL PARKI,2019-07-29,2019-09-03,346,565.0,1600
2246325,SÜLEYMAN TÜRKOĞLU PARKI,2015-08-31,2015-10-02,327,468.0,1919
1446966,SEMA YAZAR PARKI,2021-10-04,2022-08-03,1627,571.0,2850
1446966,SEMA YAZAR PARKI,2017-10-27,2018-06-27,1005,700.0,2850
2246025,KEMAL SUNAL PARKI,2017-07-27,2017-08-24,275,976.0,1600
2246325,SÜLEYMAN TÜRKOĞLU PARKI,2020-07-03,2020-08-03,383,640.0,1919
2246325,SÜLEYMAN TÜRKOĞLU PARKI,2021-10-28,2022-05-31,436,22.0,1919
556459,İLHAN ERDOST PARKI,2022-09-05,2023-07-07,1272,297.0,2676
1447076,HAMZA AKSOY PARKI,2022-08-04,2022-09-05,362,158.0,1916
1447076,HAMZA AKSOY PARKI,2017-03-29,2017-04-26,124,14.0,1916
1445621,GÜL DÜNYA PARKI,2015-04-29,2015-05-30,156,383.0,1372
1446959,GÜLTEN ÇAPAR PARKI,2019-09-05,2020-06-03,114,78.0,267
556459,İLHAN ERDOST PARKI,2016-08-31,2016-10-01,350,292.0,2676
1446573,AYTEN BAYKAL PARKI,2016-09-01,2016-10-06,336,15.0,2236
1070089,ATAPARK,2022-06-03,2022-07-01,814,114.0,8271
2246325,SÜLEYMAN TÜRKOĞLU PARKI,2023-06-01,2023-07-05,273,47.0,1919
1447067,NEŞET ERTAŞ PARKI,2020-06-05,2020-07-06,502,288.0,3160
1446966,SEMA YAZAR PARKI,2017-07-28,2017-08-25,466,458.0,2850
556459,İLHAN ERDOST PARKI,2019-09-03,2019-10-02,385,243.0,2676
1446959,GÜLTEN ÇAPAR PARKI,2015-06-04,2015-07-02,21,3.0,267
332018,AFET İNAN PARKI,2019-05-24,2019-07-01,86,32.0,534
1446966,SEMA YAZAR PARKI,2018-07-27,2018-08-31,666,175.0,2850
611617,YUNUS EMRE PARKI,2022-08-31,2022-10-04,813,1107.0,4847
2246325,SÜLEYMAN TÜRKOĞLU PARKI,2017-06-28,2017-07-27,416,617.0,1919
1446436,RAUF DENKTAŞ PARKI,2015-04-01,2015-05-04,425,15.0,5562
1447067,NEŞET ERTAŞ PARKI,2018-11-01,2019-05-25,491,6.0,3160
1446837,KAĞAN GÜRŞEN PARKI,2021-05-28,2021-06-26,104,2.0,1125
2246325,SÜLEYMAN TÜRKOĞLU PARKI,2020-08-03,2020-09-07,497,580.0,1919
556459,İLHAN ERDOST PARKI,2015-04-30,2015-06-01,304,814.0,2676
1446959,GÜLTEN ÇAPAR PARKI,2019-05-25,2019-06-29,40,18.0,267
332018,AFET İNAN PARKI,2021-08-05,2021-09-03,89,53.0,534
1071503,İSMET İNÖNÜ PARKI,2022-09-06,2022-10-04,1252,978.0,9088
1446573,AYTEN BAYKAL PARKI,2016-08-03,2016-09-01,330,23.0,2236
1446959,GÜLTEN ÇAPAR PARKI,2020-06-03,2020-07-03,38,21.0,267
2246419,ŞÜKRAN GÜNGÖR,2019-10-04,2020-06-02,308,73.0,1058
1447100,SEHERGÜL ATEŞ,2016-03-01,2016-04-30,38,100.0,400
1446837,KAĞAN GÜRŞEN PARKI,2022-06-01,2022-06-28,113,2.0,1125
1445850,TEOMAN ÖZTÜRK PARKI,2021-04-02,2021-06-01,1777,82.0,8000
1445606,NASUH AKAR PARKI,2019-10-04,2020-07-02,345,28.0,803
1446837,KAĞAN GÜRŞEN PARKI,2019-10-02,2020-06-02,340,98.0,1125
332018,AFET İNAN PARKI,2020-07-03,2020-08-05,114,197.0,534
1071503,İSMET İNÖNÜ PARKI,2021-09-06,2021-10-04,871,103.0,9088
