subscription,district,name,address,volume,price,start_read_date,end_read_date
332052,ÇANKAYA,BAHÇELİ-2 PARKI,70 SK,15.0,52.5,2021-09-03,2021-09-30
2247247,ÇANKAYA,ÇANKAYA BEL.BŞK.PARK VE B AH.MÜD.,3306 SK,229.0,798.29,2015-12-03,2016-04-29
670689,ÇANKAYA,AHLATLIBEL SPOR KOM,İNCEKYOLU KÜMEEVLER,1474.0,4908.42,2020-04-29,2020-06-03
1071011,ÇANKAYA,İ.CAMUZOĞLU PARKI,512 SK,127.0,422.91,2019-09-04,2020-06-02
1446960,ÇANKAYA,PARK,ÇİÇEKDAĞI SK,93.0,463.51,2018-07-27,2018-09-03
1071348,ÇANKAYA,SARI ZEYBEK PARKI,2483 CAD,947.0,3153.51,2020-09-03,2020-10-02
2246214,ÇANKAYA,PARK,KAZAKİSTAN CAD,39.0,149.44,2015-09-02,2016-05-30
1445850,ÇANKAYA,TEOMAN ÖZTÜRK PARKI,KARAKAŞ SK,200.0,666.0,2020-06-04,2020-07-06
1071071,ÇANKAYA,AŞIK VEYSEL-2 PARKI,NİSAN SK,24.0,232.0,2022-08-03,2023-07-08
2246317,ÇANKAYA,ŞH.PİL .TAHSİN BARUTÇU PAR,ÖĞRETMENLER CAD,42.0,197.08,2018-05-21,2018-06-23
2248507,ÇANKAYA,ÇANKAYA BEL.BŞK.PARK VE B AH.MÜD.,1238 CAD,3716.0,38476.98,2022-11-02,2023-09-02
667160,ÇANKAYA,MUHLİS AKARSU PARKI,SERHAT SK,36.0,119.88,2019-11-01,2020-06-01
671264,ÇANKAYA,UMUT ÇOCUK PARKI,ŞEHİT GÖNENÇ SK,890.0,2963.7,2019-05-25,2019-07-01
1446292,ÇANKAYA,HİLAL PARKI,677 CAD,16.0,63.26,2017-04-26,2017-05-29
1445493,ÇANKAYA,PARK,989 SK,47.0,156.51,2020-09-08,2020-10-06
1071333,ÇANKAYA,RÜYA PARKI,438 SK,137.0,479.5,2021-09-03,2021-10-04
1446961,ÇANKAYA,PARK,ZÜLFÜ TİGREL CAD,29.0,96.57,2020-08-03,2020-09-04
332043,ÇANKAYA,ESER P ARKI,AKDENİZ CAD,593.0,5031.61,2022-09-01,2022-10-03
1446291,ÇANKAYA,ALİ DİNÇER FİDANLIK,ALİ FUAT CEBESOY CAD,42.0,169.4,2017-08-28,2017-10-02
1445330,ÇANKAYA,ÇOBANYILDIZI PARKI,DUHAKENT KOP 82/1 PARSEL,2799.0,9320.67,2021-06-29,2021-08-03
1073841,ÇANKAYA,PARK,SEYRAN CAD,63.0,761.78,2023-08-03,2023-09-06
2246324,ÇANKAYA,PARK,OKULLAR SK,413.0,1375.29,2020-07-03,2020-08-04
1445329,ÇANKAYA,MALAZGİRT PARKIU,ERSEGÜN VİLLALARI KOP 102/1 PARSEL,149.0,1500.18,2022-11-03,2023-07-07
1446985,ÇANKAYA,TAMER KILIÇ PARKI,1046 SK,104.0,517.92,2018-07-27,2018-08-29
332054,ÇANKAYA,FATİH TERİM PARKI,47 SK,162.0,974.78,2022-03-03,2022-04-28
1074369,ÇANKAYA,PARK,2099 CAD,476.0,2368.98,2018-07-24,2018-08-31
1446104,ÇANKAYA,GRİN PARKI,2011 SK,898.0,4367.08,2018-06-22,2018-07-24
1071333,ÇANKAYA,RÜYA PARKI,438 SK,816.0,3982.08,2018-06-27,2018-07-25
669969,ÇANKAYA,KIRLANGIÇ PARKI,1392 CAD,22.0,97.33,2015-05-30,2015-07-02
1071388,ÇANKAYA,BARIŞ SİTE PARK,2109 SK,134.0,446.22,2020-07-06,2020-08-04
1071388,ÇANKAYA,BARIŞ SİTE PARK,2109 SK,15.0,110.65,2022-06-02,2022-06-28
1072012,ÇANKAYA,M.OGUZ ÖNDER PARKI,2650 SK,3939.0,15677.22,2017-06-30,2017-07-31
1446960,ÇANKAYA,PARK,ÇİÇEKDAĞI SK,267.0,889.11,2020-08-05,2020-09-05
670420,ÇANKAYA,KONAK PARKI,329 CAD,15.0,66.4,2015-06-01,2015-07-02
1073252,ÇANKAYA,Ş.UFUK ÜNSAL PARKI,TANYELİ SK,16.0,75.38,2018-05-25,2018-06-26
332010,ÇANKAYA,PAZAR PARKI,BEKAR SK,107.0,889.82,2022-08-04,2022-09-06
2248606,ÇANKAYA,ÇANKAYA BEL.BŞK.PARK VE B AH.MÜD.,115 CAD,341.0,1135.53,2020-08-04,2020-09-04
1070617,ÇANKAYA,ÇANKAYA BELEDİYE BAŞKAN M UHARREM DALKILIÇ KOŞ YOL,2853 CAD,1.0,12.81,2023-09-05,2023-10-07
1070995,ÇANKAYA,S FATİH ŞAHİN PARKI,617 SK,48.0,159.84,2019-09-03,2019-10-02
671264,ÇANKAYA,UMUT ÇOCUK PARKI,ŞEHİT GÖNENÇ SK,1947.0,6483.51,2021-06-29,2021-08-04
1445487,ÇANKAYA,KOCATEPE PARKI,MİTHAT PAŞA CAD,462.0,1538.46,2021-06-25,2021-08-03
1445487,ÇANKAYA,KOCATEPE PARKI,MİTHAT PAŞA CAD,37.0,125.72,2016-04-30,2016-05-31
1446558,ÇANKAYA,RIFAT ILGAZ PARKI,MUHSİN YAZICIOĞLU CAD,712.0,2370.96,2019-08-01,2019-09-05
2246025,ÇANKAYA,KEMAL SUNAL PARKI,DİKMEN CAD,1582.0,6296.36,2017-06-22,2017-07-27
1445402,ÇANKAYA,HÜSEYİN DOĞAN PARKI,ENSE ÇAY KONUTLARI,69.0,274.11,2017-05-26,2017-06-22
1071337,ÇANKAYA,KERİM AVŞAR PARKI,677 CAD,282.0,939.06,2020-07-06,2020-08-06
1071348,ÇANKAYA,SARI ZEYBEK PARKI,2483 CAD,361.0,1202.13,2019-04-20,2019-05-22
2246813,ÇANKAYA,PARK,2016 CAD,3070.0,10223.1,2019-07-29,2019-09-03
421669,ÇANKAYA,ÖZGÜRLÜK PARKI,TEKMAN CAD,125.0,416.25,2020-06-01,2020-07-02
1446925,ÇANKAYA,FUSUN SAYEK PARKI,HASAN CELAL GÜZEL CAD,721.0,3396.59,2018-05-25,2018-06-26
1446351,ÇANKAYA,PARK,1112 CAD,15.0,70.66,2018-05-25,2018-06-26
1445487,ÇANKAYA,KOCATEPE PARKI,MİTHAT PAŞA CAD,401.0,1780.19,2015-07-01,2015-08-03
1446354,ÇANKAYA,MUSTAF A SARI PARKI,350 SK,13.0,49.42,2016-11-30,2017-05-27
2246311,ÇANKAYA,YAŞAR ERİAN,3230 SK,177.0,784.11,2015-06-03,2015-07-03
2246324,ÇANKAYA,PARK,OKULLAR SK,143.0,688.85,2018-09-03,2018-10-01
1071333,ÇANKAYA,RÜYA PARKI,438 SK,71.0,236.43,2021-04-29,2021-06-01
1446912,ÇANKAYA,TÜRKAN SAYLAN PARKI,1428 SK,27.0,280.26,2023-05-03,2023-06-03
611617,ÇANKAYA,YUNUS EMRE PARKI,KIRIM CAD,118.0,392.94,2020-01-04,2020-06-04
1071051,ÇANKAYA,H.ALİ YÜCEL PARKI,BAYRAKLI SK,209.0,1040.82,2018-07-24,2018-09-04
2248040,ÇANKAYA,ÇANKAYA BEL.BŞK.PARK VE B AH. MÜD.,2679 SK,740.0,5476.0,2022-06-03,2022-07-01
1445328,ÇANKAYA,SEDİR PARKI,2520 SK,73.0,323.26,2015-06-02,2015-07-01
1071070,ÇANKAYA,BAŞAK PARKI,1570 CAD,289.0,1068.83,2018-11-26,2019-06-26
2246355,ÇANKAYA,PARK,ŞEHİT ERSAN CAD,3671.0,26734.38,2022-05-05,2022-09-29
1446291,ÇANKAYA,ALİ DİNÇER FİDANLIK,ALİ FUAT CEBESOY CAD,45.0,156.13,2016-08-02,2016-09-03
